 x                 f(x)
 0  -0.9415926535897925
 1  -0.7415926535897925
 2   2.0584073464102075
 3   3.0584073464102084
 4   1.0584073464102075
 5  -0.5415926535897926
 6  -1.7415926535897923
 7   -2.941592653589793
 8   0.4584073464102075
 9   2.2584073464102077
10   1.8584073464102073
11    2.858407346410208
12   1.6584073464102074
13  0.25840734641020746
14  -2.1415926535897922
15  -1.1415926535897924
16  0.05840734641020745
17  -2.5415926535897926
18   1.4584073464102074
19    2.458407346410208
20   0.6584073464102075
21 -0.14159265358979256
22   1.2584073464102075
23  -2.3415926535897924
24   0.8584073464102076
25  -1.9415926535897923
26 -0.34159265358979257
27  -1.5415926535897924
28    2.658407346410208
29   -3.141592653589793
30  -2.7415926535897928
31  -1.3415926535897924
---END---

